"county","anyFiber","gigFiber"
"54001","1946","1946"
"54003","25107","25107"
"54005","4370","4370"
"54007","18","18"
"54009","3266","2648"
"54011","21302","21302"
"54013","976","976"
"54015","1090","1090"
"54017","2913","2913"
"54019","2666","2666"
"54021","3023","3023"
"54023","3179","3179"
"54025","6271","6271"
"54027","10864","10864"
"54029","5345","5345"
"54031","7740","7740"
"54033","21382","21382"
"54035","7656","7656"
"54037","8714","8589"
"54039","25315","25315"
"54041","3891","3891"
"54043","1590","1590"
"54045","4605","4605"
"54047","10051","10051"
"54049","11660","11660"
"54051","4095","4095"
"54053","6884","6884"
"54055","17094","17094"
"54057","2212","2212"
"54059","1555","1555"
"54061","21609","21609"
"54063","1","1"
"54065","5334","5334"
"54067","4245","4245"
"54069","6249","6121"
"54071","3432","229"
"54073","429","429"
"54075","3815","2699"
"54077","10288","10288"
"54079","16107","16107"
"54081","15757","15757"
"54083","10562","10562"
"54085","4466","4466"
"54087","364","364"
"54089","1451","1451"
"54091","4281","4281"
"54093","1240","1240"
"54095","1859","1859"
"54097","5361","5361"
"54099","4394","4394"
"54101","1230","1230"
"54103","3888","3888"
"54105","1091","1091"
"54107","19513","19513"
"54109","993","993"
